satellite_name,norad_id,line1,line2,timestamp,observer_lat,observer_lon,observer_alt,radar_range_km,radar_velocity_km_s,radar_cross_section_m2,optical_image_url,sun_angle_deg,moon_angle_deg,brightness,rotation_rate_deg_s,spectral_uv,spectral_visible,spectral_ir
SAT-900,900,1 00900U 20001A   25276.14926608  .0000511  00000+0  12345-3 0  9999,2 00900  59.0000  44.0000 108939 132.000  192.000 9.55188938 39211,2025-10-04T23:30:19.037231Z,9.5676,50.3883,2.55,1014.69,7.46,0.065,https://images-assets.nasa.gov/image/PIA14417/PIA14417~medium.jpg,55.0,1.1,29.2,2.45,0.5,0.15,0.63
SAT-901,901,1 00901U 20001A   25276.57183277  .0000335  00000+0  12345-3 0  9997,2 00901  66.0000  336.0000 726011 142.000  281.000 3.90252380 64046,2025-10-04T22:49:19.037267Z,80.5202,-136.1995,1.85,826.28,7.36,0.022,https://images-assets.nasa.gov/image/PIA04216/PIA04216~small.jpg,41.4,21.8,39.4,4.32,0.39,0.65,0.9
SAT-902,902,1 00902U 20001A   25276.51024540  .0000895  00000+0  12345-3 0  9999,2 00902  25.0000  126.0000 465006 25.000  96.000 0.27662617 51034,2025-10-04T23:19:19.037291Z,-2.1826,141.1866,1.91,583.0,7.67,0.037,https://images-assets.nasa.gov/image/PIA14417/PIA14417~medium.jpg,11.2,74.5,177.1,1.64,0.01,0.91,0.35
SAT-903,903,1 00903U 20001A   25276.65997993  .0000495  00000+0  12345-3 0  9995,2 00903  31.0000  29.0000 058417 57.000  126.000 18.36669863 59722,2025-10-04T23:46:19.037310Z,-30.4288,42.8709,2.79,926.92,7.69,0.016,https://images-assets.nasa.gov/image/GSFC_20171208_Archive_e001465/GSFC_20171208_Archive_e001465~small.jpg,72.5,25.9,5.5,2.36,0.89,0.04,0.55
SAT-904,904,1 00904U 20001A   25276.30080499  .0000309  00000+0  12345-3 0  9991,2 00904  4.0000  143.0000 709197 123.000  193.000 2.24209372 40620,2025-10-04T23:29:19.037329Z,-21.4746,116.4113,4.06,601.34,7.07,0.06,https://images-assets.nasa.gov/image/GSFC_20171208_Archive_e001465/GSFC_20171208_Archive_e001465~small.jpg,37.4,62.5,38.2,0.58,0.46,0.84,0.18
SAT-905,905,1 00905U 20001A   25276.67134893  .0000325  00000+0  12345-3 0  9991,2 00905  38.0000  266.0000 353728 272.000  68.000 10.52794372 95186,2025-10-05T00:32:19.037348Z,78.3242,160.4449,1.96,804.13,7.47,0.076,https://images-assets.nasa.gov/image/PIA14417/PIA14417~medium.jpg,40.2,22.9,9.0,0.38,0.59,0.93,0.27
SAT-906,906,1 00906U 20001A   25276.15659873  .0000233  00000+0  12345-3 0  9998,2 00906  40.0000  183.0000 828682 31.000  08.000 17.67915676 93451,2025-10-04T23:25:19.037366Z,-42.5967,68.5948,0.04,709.19,7.99,0.062,https://images-assets.nasa.gov/image/PIA04220/PIA04220~small.jpg,11.9,9.6,22.0,4.97,0.14,0.12,0.96
SAT-907,907,1 00907U 20001A   25276.62073435  .0000742  00000+0  12345-3 0  9996,2 00907  71.0000  271.0000 284048 325.000  261.000 18.75415657 30126,2025-10-05T00:06:19.037384Z,35.7676,-176.6583,3.16,1110.9,7.24,0.056,https://images-assets.nasa.gov/image/PIA14417/PIA14417~medium.jpg,70.2,56.8,23.7,4.26,0.67,0.64,0.08
SAT-908,908,1 00908U 20001A   25276.11103277  .0000593  00000+0  12345-3 0  9992,2 00908  20.0000  319.0000 594445 136.000  54.000 14.34773134 10094,2025-10-05T00:38:19.037402Z,-78.573,107.8128,1.01,694.38,7.09,0.08,https://images-assets.nasa.gov/image/PIA04216/PIA04216~small.jpg,40.3,9.7,181.6,2.93,0.17,0.52,0.13
SAT-909,909,1 00909U 20001A   25276.65833019  .0000320  00000+0  12345-3 0  9997,2 00909  82.0000  207.0000 467933 322.000  332.000 6.14439611 90563,2025-10-05T00:16:19.037419Z,-15.6438,-159.801,2.79,937.99,7.38,0.072,https://images-assets.nasa.gov/image/PIA04225/PIA04225~medium.jpg,80.3,56.9,133.0,3.6,0.67,0.87,0.38
